City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Kapaa,22.0752,-159.319,77.32,69,40,9.22,US,2021-11-28 19:40:57
67,Vaini,-21.2,-175.2,78.96,73,20,11.5,TO,2021-11-28 19:43:27
68,Severo-Kurilsk,50.6789,156.125,33.08,82,100,12.57,RU,2021-11-28 19:44:03
69,Chokurdakh,70.6333,147.9167,-39.28,100,75,0.56,RU,2021-11-28 19:44:03
70,Monte Alegre,-2.0078,-54.0692,88.65,48,91,9.06,BR,2021-11-28 19:44:03
71,Vao,-22.6667,167.4833,75.88,88,22,21.7,NC,2021-11-28 19:44:04
72,Southbridge,42.0751,-72.0334,35.24,78,98,4.36,US,2021-11-28 19:44:04
73,Villa Carlos Paz,-31.4241,-64.4978,76.28,23,0,13.42,AR,2021-11-28 19:44:05
74,New Norfolk,-42.7826,147.0587,49.5,88,38,2.39,AU,2021-11-28 19:41:03
75,Maceio,-9.6658,-35.7353,89.04,62,20,12.66,BR,2021-11-28 19:40:01
76,Busselton,-33.65,115.3333,60.35,85,23,8.59,AU,2021-11-28 19:44:05
77,Fortuna,40.5982,-124.1573,53.94,73,40,4.74,US,2021-11-28 19:41:52
78,Mahebourg,-20.4081,57.7,75.49,83,20,3.44,MU,2021-11-28 19:42:44
79,Cabo San Lucas,22.8909,-109.9124,79.11,65,90,3.44,MX,2021-11-28 19:40:01
80,Souillac,-20.5167,57.5167,75.58,83,20,3.44,MU,2021-11-28 19:44:06
81,Hithadhoo,-0.6,73.0833,81.52,75,51,17.29,MV,2021-11-28 19:42:18
82,Lazarev,52.225,141.5131,19.4,95,100,4.54,RU,2021-11-28 19:44:07
83,Liseleje,56.0053,11.9483,37.65,97,100,25.57,DK,2021-11-28 19:44:07
84,Acuitzio,20.345,-101.9771,79.21,27,65,0.34,MX,2021-11-28 19:44:08
85,Tasiilaq,65.6145,-37.6368,26.76,97,96,3.44,GL,2021-11-28 19:44:08
86,Poshekhonye,58.4993,39.1353,33.93,90,100,13.56,RU,2021-11-28 19:44:08
87,Faanui,-16.4833,-151.75,81.37,74,100,11.81,PF,2021-11-28 19:44:09
88,Isangel,-19.55,169.2667,79.93,79,100,6.51,VU,2021-11-28 19:44:09
89,Coquimbo,-29.9533,-71.3436,64.87,69,4,9.22,CL,2021-11-28 19:43:16
90,Pecos,31.4229,-103.4932,61.63,29,1,3.44,US,2021-11-28 19:45:10
91,Ribeira Grande,38.5167,-28.7,61.2,67,20,6.91,PT,2021-11-28 19:42:15
92,Lugovoy,42.9472,72.7644,28.38,62,9,4.25,KZ,2021-11-28 19:45:10
